model,trial,value,best_so_far
CatBoost,28,0.32879629814362393,0.35296028795461076
CatBoost,29,0.34655828360523405,0.35296028795461076
CatBoost,30,0.34364860567254113,0.35296028795461076
CatBoost,31,0.3298284273632462,0.35296028795461076
CatBoost,32,0.33892983833897644,0.35296028795461076
CatBoost,33,0.33411398396519726,0.35296028795461076
CatBoost,34,0.34586375244411754,0.35296028795461076
CatBoost,35,0.33552824617463034,0.35296028795461076
CatBoost,36,0.3515414451846098,0.35296028795461076
CatBoost,37,0.33671406331497833,0.35296028795461076
CatBoost,38,0.32274995460309747,0.35296028795461076
CatBoost,39,0.28916242535916975,0.35296028795461076
CatBoost,40,0.29300859560580533,0.35296028795461076
CatBoost,41,0.33446023188665236,0.35296028795461076
CatBoost,42,0.3310652120045341,0.35296028795461076
CatBoost,43,0.3428327251781578,0.35296028795461076
CatBoost,44,0.31796037107118746,0.35296028795461076
CatBoost,45,0.284885530278237,0.35296028795461076
CatBoost,46,0.3178608971416131,0.35296028795461076
CatBoost,47,0.3177214655714092,0.35296028795461076
CatBoost,48,0.3395761068387944,0.35296028795461076
CatBoost,49,0.3238373592090638,0.35296028795461076
CatBoost,50,0.30621968504176417,0.35296028795461076
CatBoost,51,0.34043399963065174,0.35296028795461076
CatBoost,52,0.3458899851085033,0.35296028795461076
CatBoost,53,0.33863198463705046,0.35296028795461076
CatBoost,54,0.3418062718883464,0.35296028795461076
CatBoost,55,0.3319230326653609,0.35296028795461076
CatBoost,56,0.3130988654515247,0.35296028795461076
CatBoost,57,0.3411963728681687,0.35296028795461076
CatBoost,58,0.3424534380707854,0.35296028795461076
CatBoost,59,0.3440269339321799,0.35296028795461076
CatBoost,60,0.32161588791615425,0.35296028795461076
CatBoost,61,0.34542108582615266,0.35296028795461076
CatBoost,62,0.3350487401629347,0.35296028795461076
CatBoost,63,0.3428492765459949,0.35296028795461076
CatBoost,64,0.3429737794080406,0.35296028795461076
CatBoost,65,0.35176848829250823,0.35296028795461076
CatBoost,66,0.3439143970636147,0.35296028795461076
CatBoost,67,0.34135166608017364,0.35296028795461076
CatBoost,68,0.32955946831008476,0.35296028795461076
CatBoost,69,0.3358828309853131,0.35296028795461076
CatBoost,70,0.33952935749839463,0.35296028795461076
CatBoost,71,0.3394792161803768,0.35296028795461076
CatBoost,72,0.3395013991001406,0.35296028795461076
CatBoost,73,0.3361497845765185,0.35296028795461076
CatBoost,74,0.3277753988899553,0.35296028795461076
CatBoost,75,0.33352185343054447,0.35296028795461076
CatBoost,76,0.3185471331270364,0.35296028795461076
CatBoost,77,0.34747394149435634,0.35296028795461076
CatBoost,78,0.3443366039364928,0.35296028795461076
CatBoost,79,0.3372433401887475,0.35296028795461076
